trigger,T50,errT50,T90,errT90
2606,47.232,0.181,134.688,1.145
2608,15.552,0.143,29.472,1.145
2610,30.848,1.547,48.704,4.608
2611,1.088,0.051,12.212,0.064
2614,0.088,0.011,0.296,0.057
2615,0.012,0.006,0.028,0.009
2619,36.288,0.5,152.064,1.002
2620,6.016,0.264,18.88,2.376
2623,1.792,0.091,3.392,0.143
2628,1.728,0.091,5.888,0.091
2632,0.48,0.025,1.443,0.093
2633,0.672,0.072,1.408,0.091
2634,12.288,0.5,58.656,1.846
2636,14.464,1.134,31.296,0.746
2640,2.688,0.202,25.984,2.503
2641,1.152,0.453,2.304,0.859
2649,0.128,0.091,0.256,0.091
2660,6.464,0.345,16.896,2.057
2662,6.336,0.264,16.128,0.854
2663,5.376,0.345,12.224,1.581
2664,12.48,0.689,35.168,2.243
2665,10.432,0.898,30.592,2.435
2671,9.344,1.319,31.456,5.976
2677,0.896,0.264,2.176,2.371
2679,0.192,0.091,0.256,0.091
2680,2.547,0.066,5.376,0.143
2681,18.368,0.286,55.456,1.056
2688,11.584,0.968,35.712,4.61
2690,0.128,0.009,0.2,0.029
2691,11.648,0.781,26.752,4.292
2693,0.164,0.091,0.188,0.122
2695,14.208,1.09,33.376,7.505
2696,17.28,0.181,45.568,0.41
2697,4.736,0.264,13.696,0.749
2700,32.64,0.143,57.92,0.543
2701,0.32,0.105,0.636,0.405
2703,22.592,0.286,57.664,1.223
2706,8.128,0.143,21.76,1.159
2709,8.96,0.202,18.496,0.905
2711,87.552,0.572,124.864,1.669
2715,0.192,0.091,0.384,0.091
2719,7.872,0.389,34.88,3.329
2725,3.264,1.026,11.328,9.089
2727,47.168,1.118,64.288,5.34
2728,1.421,0.011,2.029,0.064
2732,6.624,1.032,24.864,1.793
2736,1.585,0.011,5.065,0.193
2748,0.192,0.091,0.384,0.091
2749,2.368,0.326,17.856,2.34
2750,4.672,0.345,11.136,2.823
2751,8.064,1.118,20.544,5.841
2753,8.64,0.143,21.76,0.601
2755,0.056,0.011,0.144,0.025
2757,0.064,0.091,0.064,0.091
2760,1.792,0.143,4.672,0.528
2767,26.624,1.478,33.216,0.792
2770,26.88,0.604,181.088,1.954
2774,11.264,0.716,55.136,3.43
2775,13.248,1.632,31.648,4.036
2776,1.536,0.202,1.953,1.312
2780,15.232,0.453,53.632,1.665
2788,0.48,0.025,0.872,0.049
2790,29.824,0.091,45.248,0.326
2793,2.304,0.091,6.976,0.707
2795,0.112,0.011,0.232,0.033
2797,2.688,0.091,8.832,0.202
2798,9.024,0.091,49.152,1.223
2799,0.782,0.072,3.214,0.198
2800,0.32,0.091,0.448,0.231
2801,0.064,0.091,0.256,0.091
2810,1.104,0.072,2.41,0.202
2812,14.144,0.091,30.656,0.516
2814,0.064,0.091,0.064,0.091
2815,105.024,0.572,131.744,1.614
2821,0.152,0.011,0.392,0.029
2823,0.064,0.023,0.176,0.082
2825,12.833,2.388,32.096,11.685
2828,0.24,0.045,0.581,0.13
2830,1.472,0.202,3.264,0.264
2831,66.048,0.264,150.144,0.143
2834,0.16,0.011,0.68,0.011
2843,6.72,0.272,11.136,1.032
2844,1.88,0.054,2.752,0.264
2846,0.04,0.011,0.064,0.011
2848,2.432,0.326,7.232,1.012
2849,0.437,0.13,1.261,0.702
2850,0.896,0.091,2.24,0.202
2851,1.024,0.143,2.368,0.373
2852,12.48,0.091,33.28,0.091
2853,5.056,0.091,13.984,1.056
2855,13.184,0.143,42.496,1.833
2856,56.512,0.091,119.872,0.143
2857,10.08,1.175,24.544,1.361
2860,1.08,0.036,1.463,0.068
2861,0.799,0.066,1.599,0.072
2862,27.04,1.145,41.824,3.178
2863,16.128,0.779,42.624,2.21
2864,9.472,0.32,30.944,3.851
2873,0.044,0.011,0.084,0.516
2877,28.992,0.607,114.112,1.088
2879,0.08,0.033,0.176,0.169
2880,1.843,0.066,6.115,0.257
2881,34.496,0.326,70.336,1.409
2889,20.608,0.091,75.904,3.138
2890,23.936,0.202,51.584,3.014
2891,16.064,0.091,60.736,0.771
2892,0.104,0.018,0.288,0.064
2893,3.776,0.373,10.336,1.541
2894,1.6,0.091,3.776,0.405
2896,0.144,0.011,0.456,0.033
2897,18.112,0.143,28.032,1.218
2898,6.72,0.653,14.976,1.669
2900,3.552,1.056,18.144,2.146
2901,9.984,0.528,28.416,3.274
2910,0.128,0.091,0.32,0.326
2913,19.392,0.091,22.912,1.463
2916,5.632,0.202,10.144,1.145
2917,3.968,1.664,11.872,2.764
2918,0.256,0.091,0.448,0.091
2919,4.032,0.091,20.32,1.208
2922,54.784,0.345,160.768,0.466
2924,108.032,0.462,137.088,1.958
2925,7.552,1.034,17.152,2.763
2927,7.776,0.89,34.336,7.938
2929,14.08,0.143,42.752,0.453
2931,13.888,0.373,46.496,2.347
2932,3.974,0.737,9.12,1.243
2933,0.192,0.091,0.32,0.091
2939,18.56,0.264,47.168,0.834
2944,2.88,0.091,5.184,0.202
2945,0.896,0.033,3.392,0.143
2947,9.408,0.453,21.92,1.793
2948,48.768,1.196,101.216,4.284
2950,12.992,0.429,27.584,2.44
2951,2.305,0.066,4.864,0.091
2952,0.184,0.018,0.68,0.018
2953,11.2,0.091,16.832,0.771
2958,28.576,1.026,36.896,1.175
2961,51.136,1.68,88.64,2.525
2964,0.08,0.023,0.2,0.058
2966,0.136,0.011,0.312,0.011
2973,0.261,0.068,0.637,0.075
2975,0.072,0.057,0.24,0.088
2977,0.256,0.091,0.576,0.091
2978,0.088,0.011,0.36,0.088
2980,1.164,0.109,2.884,0.925
2984,11.776,0.091,32.832,2.347
2985,13.696,0.362,31.104,3.605
2986,1.552,0.101,4.032,0.528
2987,0.128,0.091,0.64,0.286
2988,0.256,0.091,4.672,0.091
2990,4.832,1.032,11.232,4.12
2992,11.84,3.693,16.832,5.633
2993,17.664,0.516,44.8,1.09
2994,15.36,0.389,48.576,3.905
2995,0.104,0.011,0.704,0.136
2996,22.144,1.478,50.848,5.033
2998,9.728,0.345,33.056,9.567
3001,12.48,0.091,29.696,1.094
3003,10.752,0.453,37.632,3.853
3005,8.96,0.716,26.88,6.085
3011,23.232,1.431,49.664,5.957
3012,6.144,0.202,9.92,0.59
3015,11.2,0.286,26.752,1.177
3016,3.392,0.345,10.304,1.391
3017,30.4,0.429,75.552,2.639
3026,3.84,0.466,11.008,1.498
3027,0.042,0.006,0.12,0.02
3028,1.549,0.132,4.285,2.468
3029,19.968,1.379,44.736,3.201
3032,8.064,0.362,13.12,1.548
3035,35.776,0.516,88.448,0.5
3036,1.024,0.311,4.544,1.537
3037,0.018,0.008,0.048,0.013
3038,0.28,0.011,0.464,0.011
3039,1.664,0.091,3.635,0.08
3040,11.136,0.516,25.984,2.497
3042,100.16,0.143,181.952,0.181
3043,0.056,0.011,0.104,0.018
3051,0.054,0.004,0.136,0.017
3055,19.264,0.345,40.64,3.078
3056,9.92,0.091,36.32,1.319
3057,13.376,0.091,34.88,0.453
3062,8.128,0.181,23.648,3.353
3066,0.088,0.011,0.176,0.018
3067,8.256,0.091,66.976,1.032
3068,1.856,0.143,4.096,0.32
3070,7.488,0.272,20.704,1.243
3071,26.432,0.202,71.328,1.118
3072,3.968,0.389,8.704,1.527
3073,0.028,0.006,0.056,0.006
3074,17.6,1.843,43.2,4.25
3075,33.024,0.202,43.584,1.032
3076,42.496,0.547,84.16,1.833
3078,0.112,0.011,0.224,0.033
3080,29.824,0.264,48.608,1.9
3084,4.928,0.143,9.6,0.551
3085,4.16,0.854,11.264,2.263
3087,0.32,0.091,1.152,0.091
3088,1.984,0.143,5.184,0.231
3091,4.736,0.202,9.472,0.58
3093,36.416,0.286,89.344,1.236
3094,0.32,0.086,0.432,0.087
3096,2.624,0.091,6.976,0.32
3099,13.248,0.547,31.232,2.409
3100,19.2,0.389,45.248,0.41
3101,8.384,0.091,37.376,3.137
3102,14.976,0.286,37.056,1.19
3103,38.72,0.779,53.824,0.973
3105,13.376,0.143,27.712,0.202
3109,13.568,0.181,34.496,1.087
3110,4.928,0.143,10.176,0.389
3113,0.464,0.011,0.976,0.023
3114,0.512,0.091,0.896,0.264
3115,4.032,0.091,45.312,0.143
3118,0.136,0.018,0.232,0.043
3119,13.568,0.59,35.584,0.59
3120,9.664,0.345,18.848,2.319
3121,0.304,0.041,0.792,0.064
3125,8.64,0.143,23.296,1.386
3127,6.144,0.577,13.088,1.056
3128,14.144,0.091,32.192,0.143
3129,8.832,0.63,20.128,1.448
3130,8.96,0.63,18.496,1.305
3131,9.472,0.181,48.352,1.28
3132,14.784,0.516,20.736,1.282
3134,4.672,0.264,13.472,1.639
3135,34.464,1.042,49.248,1.361
3136,4.832,1.073,19.552,7.633
3137,0.04,0.011,0.064,0.011
3138,2.24,0.091,5.184,0.091
3139,2.56,0.547,6.08,1.404
3141,1.194,0.208,2.29,0.584
3142,8.448,2.652,33.088,4.128
3143,1.619,0.075,4.147,0.273
3144,3.456,0.916,6.656,2.515
3146,1.323,0.072,1.963,0.763
3152,0.128,0.091,1.793,0.066
3153,14.656,0.5,32.032,3.226
3155,1.28,0.091,4.928,2.691
3156,197.408,1.056,300,1.319
